step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,6.93238,39.44328,-1,6.93238,7447,11582,-1,7447,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n2),(traefik,n2),(memcached,n25),(memcached,n110),(traefik,n33),(httpd,n33),(postgres,n33),(traefik,n54)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n101),(alpine,n101),(nginx,n101),(mariadb,n101),(busybox,n73),(alpine,n73),(nginx,n73),(httpd,n73),(mariadb,n73),(postgres,n73),(busybox,n29),(alpine,n29),(memcached,n29),(traefik,n29),(nginx,n29),(httpd,n29),(mariadb,n29),(postgres,n29),(memcached,n44),(traefik,n44),(memcached,n2),(traefik,n2),(httpd,n110),(postgres,n110)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n2),(traefik,n2),(memcached,n25),(memcached,n110),(traefik,n33),(httpd,n33),(postgres,n33),(traefik,n54)"
1,6.69707,12.0464,65.05912,71.75618999999999,7964,9974,-1,7964,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n2),(traefik,n2),(memcached,n5),(traefik,n5),(postgres,n23)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n73),(alpine,n73),(nginx,n73),(httpd,n73),(mariadb,n73),(busybox,n29),(alpine,n29),(nginx,n29),(httpd,n29),(mariadb,n29),(postgres,n29),(memcached,n22),(memcached,n2),(traefik,n2),(traefik,n5),(postgres,n23)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n2),(traefik,n2),(memcached,n5),(traefik,n5),(postgres,n23)"
2,66.52234,50.82968,65.10862,131.63096000000002,13134,13755,-1,13134,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n2),(memcached,n29),(memcached,n48),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n92),(mariadb,n6),(httpd,n6),(postgres,n6),(traefik,n1),(traefik,n5),(traefik,n7),(httpd,n7),(postgres,n7)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n101),(alpine,n101),(busybox,n73),(alpine,n73),(nginx,n73),(httpd,n73),(mariadb,n73),(postgres,n73),(busybox,n29),(alpine,n29),(memcached,n29),(traefik,n29),(nginx,n29),(httpd,n29),(mariadb,n29),(postgres,n29),(memcached,n44),(traefik,n44),(memcached,n1),(traefik,n1),(nginx,n48),(mariadb,n48),(httpd,n17),(postgres,n17)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n2),(memcached,n29),(memcached,n48),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n92),(mariadb,n6),(httpd,n6),(postgres,n6),(traefik,n1),(traefik,n5),(traefik,n7),(httpd,n7),(postgres,n7)"
3,10.13505,45.96896,65.20089,75.33594,7447,10486,-1,7447,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n2),(traefik,n2),(memcached,n33),(httpd,n33),(postgres,n33),(memcached,n59),(traefik,n25),(traefik,n110)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n48),(alpine,n48),(nginx,n48),(mariadb,n48),(busybox,n101),(alpine,n101),(nginx,n101),(httpd,n101),(mariadb,n101),(postgres,n101),(busybox,n73),(alpine,n73),(memcached,n73),(traefik,n73),(nginx,n73),(httpd,n73),(mariadb,n73),(postgres,n73),(memcached,n33),(traefik,n33),(httpd,n33),(postgres,n33),(memcached,n2),(traefik,n2)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n2),(traefik,n2),(memcached,n33),(httpd,n33),(postgres,n33),(memcached,n59),(traefik,n25),(traefik,n110)"
4,11.2874,30.57025,65.19067,76.47807,8545,9432,-1,8545,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(busybox,n40),(memcached,n40),(nginx,n40),(mariadb,n40),(alpine,n40),(traefik,n40),(httpd,n40),(postgres,n40),(memcached,n33),(traefik,n33),(httpd,n33),(postgres,n33),(traefik,n2)","(busybox,n40),(alpine,n40),(memcached,n40),(traefik,n40),(nginx,n40),(httpd,n40),(mariadb,n40),(postgres,n40),(busybox,n1),(alpine,n1),(memcached,n1),(traefik,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(busybox,n29),(alpine,n29),(nginx,n29),(mariadb,n29),(memcached,n33),(httpd,n33),(postgres,n33),(traefik,n17)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(busybox,n40),(memcached,n40),(nginx,n40),(mariadb,n40),(alpine,n40),(traefik,n40),(httpd,n40),(postgres,n40),(memcached,n33),(traefik,n33),(httpd,n33),(postgres,n33),(traefik,n2)"
5,69.69783,65.21894,65.23746,134.93529,13194,-1,-1,13194,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(memcached,n7),(traefik,n7),(httpd,n7),(postgres,n7),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n46),(mariadb,n48),(traefik,n2),(traefik,n19),(httpd,n92),(postgres,n6)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(memcached,n7),(traefik,n7),(httpd,n7),(postgres,n7),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n46),(mariadb,n48),(traefik,n2),(traefik,n19),(httpd,n92),(postgres,n6)"
6,49.62083,65.21073,65.24384,114.86467,12838,-1,-1,12838,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(traefik,n1),(memcached,n25),(traefik,n25),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n48),(httpd,n48),(mariadb,n6),(postgres,n6),(traefik,n7),(httpd,n7),(postgres,n7)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(traefik,n1),(memcached,n25),(traefik,n25),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n48),(httpd,n48),(mariadb,n6),(postgres,n6),(traefik,n7),(httpd,n7),(postgres,n7)"
7,557.67904,65.20536,65.19787,622.87691,14564,-1,-1,14564,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(traefik,n1),(memcached,n7),(traefik,n7),(httpd,n7),(postgres,n7),(memcached,n105),(traefik,n105),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n50),(mariadb,n92),(httpd,n74),(postgres,n6)",,,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(traefik,n1),(memcached,n7),(traefik,n7),(httpd,n7),(postgres,n7),(memcached,n105),(traefik,n105),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n50),(mariadb,n92),(httpd,n74),(postgres,n6)"
8,82.34575,3.61349,65.23545,147.5812,8760,9700,-1,8760,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(traefik,n1),(postgres,n1),(memcached,n25),(nginx,n6),(mariadb,n6),(httpd,n6),(traefik,n5)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n73),(alpine,n73),(memcached,n73),(traefik,n73),(busybox,n29),(alpine,n29),(nginx,n29),(httpd,n29),(mariadb,n29),(postgres,n29),(memcached,n1),(traefik,n1),(postgres,n1),(nginx,n6),(httpd,n6),(mariadb,n6)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(traefik,n1),(postgres,n1),(memcached,n25),(nginx,n6),(mariadb,n6),(httpd,n6),(traefik,n5)"
9,161.548,24.71294,65.25297,226.80097,13194,9262,-1,13194,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(traefik,n1),(memcached,n7),(traefik,n7),(httpd,n7),(postgres,n7),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n48),(mariadb,n54),(httpd,n92),(postgres,n6)","(busybox,n0),(alpine,n0),(memcached,n0),(traefik,n0),(nginx,n0),(httpd,n0),(mariadb,n0),(postgres,n0),(busybox,n73),(alpine,n73),(busybox,n29),(alpine,n29),(nginx,n29),(mariadb,n29),(memcached,n1),(traefik,n1),(memcached,n33),(traefik,n33),(httpd,n33),(postgres,n33),(nginx,n48),(httpd,n48),(mariadb,n48),(postgres,n6)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(alpine,n0),(traefik,n0),(httpd,n0),(postgres,n0),(memcached,n1),(traefik,n1),(memcached,n7),(traefik,n7),(httpd,n7),(postgres,n7),(memcached,n110),(traefik,n110),(httpd,n110),(postgres,n110),(nginx,n48),(mariadb,n54),(httpd,n92),(postgres,n6)"
