step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,20226.35555,10.9142,-1,20226.35555,13086,15651,-1,13086,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n16),(traefik,n11),(postgres,n11),(redis,n11),(traefik,n96),(httpd,n13),(ubuntu,n8),(mysql,n8),(ubuntu,n101),(redis,n166),(rabbitmq,n17),(mysql,n118)","(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(traefik,n1),(redis,n1),(nginx,n1),(httpd,n1),(rabbitmq,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n31),(alpine,n31),(nginx,n31),(mariadb,n31),(ubuntu,n6),(traefik,n6),(redis,n6),(mysql,n6),(memcached,n16),(httpd,n16),(rabbitmq,n16),(postgres,n16)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n16),(traefik,n11),(postgres,n11),(redis,n11),(traefik,n96),(httpd,n13),(ubuntu,n8),(mysql,n8),(ubuntu,n101),(redis,n166),(rabbitmq,n17),(mysql,n118)"
1,84.15496,95.91066,65.58467,149.73963,14950,-1,-1,14950,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n16),(traefik,n16),(postgres,n16),(ubuntu,n16),(nginx,n11),(httpd,n11),(mariadb,n17),(redis,n17),(traefik,n214),(ubuntu,n166),(mysql,n166),(redis,n24),(mysql,n24),(redis,n101),(mysql,n8)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n16),(traefik,n16),(postgres,n16),(ubuntu,n16),(nginx,n11),(httpd,n11),(mariadb,n17),(redis,n17),(traefik,n214),(ubuntu,n166),(mysql,n166),(redis,n24),(mysql,n24),(redis,n101),(mysql,n8)"
2,191.97157,61.86217,9.91976,9.91976,15759,16210,15578,15578,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(traefik,n3),(httpd,n3),(postgres,n17),(rabbitmq,n17),(ubuntu,n11),(ubuntu,n166),(mysql,n166),(redis,n8),(redis,n118),(mysql,n13),(mysql,n16)","(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(traefik,n1),(redis,n1),(nginx,n1),(rabbitmq,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n128),(alpine,n128),(busybox,n141),(alpine,n141),(ubuntu,n141),(memcached,n141),(traefik,n141),(redis,n141),(nginx,n141),(rabbitmq,n141),(httpd,n141),(mariadb,n141),(postgres,n141),(ubuntu,n3),(memcached,n3),(traefik,n3),(redis,n3),(nginx,n16),(rabbitmq,n16),(httpd,n16),(mariadb,n16),(postgres,n16),(mysql,n16),(mysql,n118)","(memcached,n1),(rabbitmq,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(redis,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(memcached,n3),(rabbitmq,n16),(ubuntu,n16),(traefik,n16),(postgres,n16),(ubuntu,n166),(mysql,n166),(traefik,n214),(redis,n17),(mariadb,n17),(redis,n24),(mysql,n24),(redis,n101),(nginx,n11),(httpd,n11),(mysql,n8)","(memcached,n1),(rabbitmq,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(redis,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(memcached,n3),(rabbitmq,n16),(ubuntu,n16),(traefik,n16),(postgres,n16),(ubuntu,n166),(mysql,n166),(traefik,n214),(redis,n17),(mariadb,n17),(redis,n24),(mysql,n24),(redis,n101),(nginx,n11),(httpd,n11),(mysql,n8)"
3,123.26585,95.97904,65.8675,189.13335,18623,-1,-1,18623,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(traefik,n3),(httpd,n3),(postgres,n11),(ubuntu,n17),(ubuntu,n166),(redis,n16),(mysql,n16),(redis,n26),(mysql,n26),(redis,n96),(mysql,n96),(rabbitmq,n13)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n3),(nginx,n3),(mariadb,n3),(traefik,n3),(httpd,n3),(postgres,n11),(ubuntu,n17),(ubuntu,n166),(redis,n16),(mysql,n16),(redis,n26),(mysql,n26),(redis,n96),(mysql,n96),(rabbitmq,n13)"
4,35.78291,8.12461,4.0039,4.0039,13206,15586,18261,18261,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n115),(traefik,n115),(ubuntu,n115),(redis,n115),(mysql,n115),(redis,n8),(mysql,n8)","(busybox,n1),(alpine,n1),(ubuntu,n1),(memcached,n1),(traefik,n1),(redis,n1),(rabbitmq,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n190),(alpine,n190),(rabbitmq,n190),(nginx,n190),(httpd,n190),(mariadb,n190),(postgres,n190),(ubuntu,n115),(memcached,n115),(traefik,n115),(redis,n26),(mysql,n26)","(ubuntu,n1),(memcached,n1),(traefik,n1),(busybox,n1),(alpine,n1),(redis,n1),(rabbitmq,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(ubuntu,n115),(memcached,n115),(traefik,n115),(redis,n16),(mysql,n16),(redis,n26),(mysql,n26),(redis,n96),(mysql,n96),(rabbitmq,n13),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n11)","(ubuntu,n1),(memcached,n1),(traefik,n1),(busybox,n1),(alpine,n1),(redis,n1),(rabbitmq,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(ubuntu,n115),(memcached,n115),(traefik,n115),(redis,n16),(mysql,n16),(redis,n26),(mysql,n26),(redis,n96),(mysql,n96),(rabbitmq,n13),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n11)"
5,37.53182,96.29097,66.02505,103.55687,14755,-1,-1,14755,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n96),(ubuntu,n96),(memcached,n176),(traefik,n176),(ubuntu,n176),(redis,n176),(mysql,n176),(traefik,n8),(redis,n67),(mysql,n67)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n96),(ubuntu,n96),(memcached,n176),(traefik,n176),(ubuntu,n176),(redis,n176),(mysql,n176),(traefik,n8),(redis,n67),(mysql,n67)"
6,40.20681,95.96822,66.00256,106.20937,14041,-1,-1,14041,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n182),(traefik,n182),(ubuntu,n115),(redis,n52),(mysql,n52),(redis,n166),(mysql,n101)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n182),(traefik,n182),(ubuntu,n115),(redis,n52),(mysql,n52),(redis,n166),(mysql,n101)"
7,39.16735,10.49117,24.43542,24.43542,14152,15807,14353,14353,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n8),(memcached,n215),(redis,n26),(mysql,n26)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(rabbitmq,n1),(redis,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n190),(alpine,n190),(ubuntu,n190),(traefik,n190),(rabbitmq,n190),(nginx,n190),(httpd,n190),(mariadb,n190),(postgres,n190),(memcached,n26),(redis,n26),(mysql,n26)","(memcached,n1),(redis,n1),(mysql,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(rabbitmq,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(memcached,n26),(redis,n26),(mysql,n26),(ubuntu,n115),(traefik,n182)","(memcached,n1),(redis,n1),(mysql,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(rabbitmq,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(memcached,n26),(redis,n26),(mysql,n26),(ubuntu,n115),(traefik,n182)"
8,48.60392,18.70732,65.95956,114.56348,13121,16386,-1,13121,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n166),(traefik,n166),(mysql,n166),(ubuntu,n115),(redis,n115),(redis,n101),(mysql,n35)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(rabbitmq,n1),(redis,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n128),(alpine,n128),(rabbitmq,n128),(redis,n128),(nginx,n128),(httpd,n128),(mariadb,n128),(postgres,n128),(mysql,n128),(busybox,n190),(alpine,n190),(ubuntu,n190),(traefik,n190),(memcached,n190),(rabbitmq,n190),(nginx,n190),(httpd,n190),(mariadb,n190),(postgres,n190),(ubuntu,n115),(traefik,n115),(memcached,n115),(redis,n166),(mysql,n166)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n166),(traefik,n166),(mysql,n166),(ubuntu,n115),(redis,n115),(redis,n101),(mysql,n35)"
9,49.69044,96.08851,65.97547,115.66591,16957,-1,-1,16957,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n24),(memcached,n140),(traefik,n86),(ubuntu,n96),(redis,n16),(mysql,n16),(redis,n67),(mysql,n67),(redis,n85),(mysql,n85),(redis,n101),(mysql,n101)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n24),(memcached,n140),(traefik,n86),(ubuntu,n96),(redis,n16),(mysql,n16),(redis,n67),(mysql,n67),(redis,n85),(mysql,n85),(redis,n101),(mysql,n101)"
10,274.49385,96.09857,66.03085,340.5247,18583,-1,-1,18583,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n11),(traefik,n11),(memcached,n214),(traefik,n214),(nginx,n3),(mariadb,n35),(httpd,n17),(postgres,n13),(ubuntu,n70),(ubuntu,n101),(redis,n67),(mysql,n67),(redis,n153),(redis,n166),(mysql,n166),(mysql,n61)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n11),(traefik,n11),(memcached,n214),(traefik,n214),(nginx,n3),(mariadb,n35),(httpd,n17),(postgres,n13),(ubuntu,n70),(ubuntu,n101),(redis,n67),(mysql,n67),(redis,n153),(redis,n166),(mysql,n166),(mysql,n61)"
11,40.92572,3.73349,1.31451,1.31451,12201,13655,18583,18583,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n96),(traefik,n118),(redis,n118),(mysql,n118),(ubuntu,n166)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(rabbitmq,n1),(redis,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n128),(alpine,n128),(rabbitmq,n128),(nginx,n128),(httpd,n128),(mariadb,n128),(postgres,n128),(ubuntu,n118),(traefik,n118),(memcached,n118),(redis,n118),(mysql,n118)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(rabbitmq,n1),(redis,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(ubuntu,n70),(ubuntu,n101),(traefik,n11),(memcached,n11),(traefik,n214),(memcached,n214),(redis,n67),(mysql,n67),(redis,n153),(redis,n166),(mysql,n166),(nginx,n3),(httpd,n17),(mariadb,n35),(postgres,n13),(mysql,n61)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(rabbitmq,n1),(redis,n1),(nginx,n1),(httpd,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(ubuntu,n70),(ubuntu,n101),(traefik,n11),(memcached,n11),(traefik,n214),(memcached,n214),(redis,n67),(mysql,n67),(redis,n153),(redis,n166),(mysql,n166),(nginx,n3),(httpd,n17),(mariadb,n35),(postgres,n13),(mysql,n61)"
12,1029.21704,95.98206,66.12641,1095.34345,15831,-1,-1,15831,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n13),(memcached,n166),(memcached,n241),(traefik,n241),(traefik,n96),(ubuntu,n86),(ubuntu,n192),(redis,n192),(mysql,n192),(redis,n67),(mysql,n67),(redis,n115),(mysql,n115)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n13),(memcached,n166),(memcached,n241),(traefik,n241),(traefik,n96),(ubuntu,n86),(ubuntu,n192),(redis,n192),(mysql,n192),(redis,n67),(mysql,n67),(redis,n115),(mysql,n115)"
13,39.33547,95.9346,66.13679,105.47226,14098,-1,-1,14098,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n115),(ubuntu,n115),(redis,n115),(mysql,n115),(traefik,n86),(redis,n67),(mysql,n67),(mysql,n166)",,,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n115),(ubuntu,n115),(redis,n115),(mysql,n115),(traefik,n86),(redis,n67),(mysql,n67),(mysql,n166)"
14,38.7453,11.44258,31.11646,31.11646,14009,18210,14965,14965,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1),(alpine,n1),(traefik,n1),(httpd,n1),(postgres,n1),(ubuntu,n1),(redis,n1),(rabbitmq,n1),(mysql,n1),(memcached,n101),(traefik,n96),(ubuntu,n118),(redis,n44),(mysql,n44),(mysql,n67)","(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(redis,n1),(rabbitmq,n1),(httpd,n1),(nginx,n1),(mariadb,n1),(postgres,n1),(mysql,n1),(busybox,n128),(alpine,n128),(ubuntu,n128),(traefik,n128),(memcached,n128),(rabbitmq,n128),(httpd,n128),(nginx,n128),(mariadb,n128),(postgres,n128),(busybox,n190),(alpine,n190),(ubuntu,n190),(traefik,n190),(memcached,n190),(redis,n190),(rabbitmq,n190),(httpd,n190),(nginx,n190),(mariadb,n190),(postgres,n190),(mysql,n190),(redis,n203),(mysql,n26)","(redis,n1),(mysql,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(rabbitmq,n1),(httpd,n1),(nginx,n1),(mariadb,n1),(postgres,n1),(redis,n203),(redis,n190),(mysql,n190),(mysql,n26),(ubuntu,n115),(memcached,n115),(traefik,n86)","(redis,n1),(mysql,n1),(busybox,n1),(alpine,n1),(ubuntu,n1),(traefik,n1),(memcached,n1),(rabbitmq,n1),(httpd,n1),(nginx,n1),(mariadb,n1),(postgres,n1),(redis,n203),(redis,n190),(mysql,n190),(mysql,n26),(ubuntu,n115),(memcached,n115),(traefik,n86)"
