step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
21,6.71042,0.24905,0.30046,7.01088,1418,1418,-1,1418,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)","(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)",,"(busybox,n1),(memcached,n1),(nginx,n1),(mariadb,n1)"
22,5.83402,32.76805,0.20009,6.03411,3793,5341,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n54),(nginx,n6),(mariadb,n6)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n10),(nginx,n10),(mariadb,n10),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n83),(memcached,n25)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n54),(nginx,n6),(mariadb,n6)"
23,5.27411,1.27807,0.18446,5.45857,3793,4632,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(mariadb,n33),(memcached,n48),(nginx,n48)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(mariadb,n33),(memcached,n48),(nginx,n48)"
24,5.9259,25.33273,0.25274,6.178640000000001,3793,5341,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n74),(nginx,n6),(mariadb,n6)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n10),(nginx,n10),(mariadb,n10),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17),(memcached,n25)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n33),(memcached,n74),(nginx,n6),(mariadb,n6)"
25,6.1146,1.03208,0.20952,6.324120000000001,3793,4632,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n1),(memcached,n33),(nginx,n6),(mariadb,n50)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n1),(memcached,n33),(nginx,n6),(mariadb,n50)"
26,6.12099,12.39839,0.19315,6.31414,3793,4380,-1,3793,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n9),(memcached,n92),(nginx,n92),(mariadb,n92)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n10),(busybox,n6),(nginx,n6),(mariadb,n6),(memcached,n9),(memcached,n92),(nginx,n92),(mariadb,n92)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n9),(memcached,n92),(nginx,n92),(mariadb,n92)"
27,6.0993,1.62813,0.11283,6.21213,3340,4632,-1,3340,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n9),(memcached,n33)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n9),(memcached,n33)"
28,6.56312,9.73299,0.23029,6.79341,3919,4884,-1,3919,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n1),(memcached,n73),(memcached,n110),(nginx,n90),(mariadb,n56)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(nginx,n2),(mariadb,n2),(memcached,n44),(memcached,n1)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n1),(memcached,n73),(memcached,n110),(nginx,n90),(mariadb,n56)"
29,6.1969,31.89555,0.2142,6.4111,3214,4963,-1,3214,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n27),(memcached,n33)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n10),(nginx,n10),(mariadb,n10),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n33),(memcached,n27)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n27),(memcached,n33)"
30,5.98269,1.32172,0.22797,6.21066,3919,4632,-1,3919,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n9),(memcached,n33),(nginx,n10),(mariadb,n90)","(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(busybox,n6),(nginx,n6),(mariadb,n6),(busybox,n2),(memcached,n2),(nginx,n2),(mariadb,n2),(memcached,n17)",,"(busybox,n0),(memcached,n0),(nginx,n0),(mariadb,n0),(memcached,n2),(memcached,n9),(memcached,n33),(nginx,n10),(mariadb,n90)"
