step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
98,13.69441,65.97814,65.89937,79.59378000000001,2594,-1,-1,2594,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(alpine,n4),(traefik,n4),(httpd,n4),(postgres,n4),(memcached,n33),(memcached,n131),(postgres,n131),(traefik,n7),(traefik,n11),(traefik,n195)",,,"(busybox,n4),(memcached,n4),(nginx,n4),(mariadb,n4),(alpine,n4),(traefik,n4),(httpd,n4),(postgres,n4),(memcached,n33),(memcached,n131),(postgres,n131),(traefik,n7),(traefik,n11),(traefik,n195)"
99,12.82642,5.30238,65.5873,78.41372,6746,7821,-1,6746,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n131),(postgres,n131),(traefik,n4),(traefik,n195)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n171),(alpine,n171),(nginx,n171),(httpd,n171),(mariadb,n171),(memcached,n116),(postgres,n116),(traefik,n16)",,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n131),(postgres,n131),(traefik,n4),(traefik,n195)"
100,15.14102,9.50042,65.82675,80.96777,6875,8208,-1,6875,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n33),(memcached,n131),(postgres,n131),(traefik,n4),(traefik,n195)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n171),(alpine,n171),(nginx,n171),(httpd,n171),(mariadb,n171),(memcached,n16),(traefik,n16),(postgres,n116)",,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n33),(memcached,n131),(postgres,n131),(traefik,n4),(traefik,n195)"
101,13.18223,66.00083,65.96857,79.1508,6584,-1,-1,6584,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n56),(traefik,n7),(traefik,n195),(postgres,n195)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n56),(traefik,n7),(traefik,n195),(postgres,n195)"
102,20.9978,65.98016,66.01463,87.01243,6584,-1,-1,6584,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n56),(postgres,n56),(traefik,n7),(traefik,n195)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n56),(postgres,n56),(traefik,n7),(traefik,n195)"
103,16.15758,65.97089,65.66579,81.82337,6195,-1,-1,6195,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n195),(traefik,n195),(traefik,n7)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n195),(traefik,n195),(traefik,n7)"
104,12.42284,65.94259,65.57308,77.99592000000001,6767,-1,-1,6767,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n7),(traefik,n7),(memcached,n195),(mariadb,n195),(traefik,n195)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n7),(traefik,n7),(memcached,n195),(mariadb,n195),(traefik,n195)"
105,20.46595,65.93456,65.87689,86.34284,8013,-1,-1,8013,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n7),(traefik,n7),(memcached,n145),(nginx,n145),(traefik,n145),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(postgres,n195)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n7),(traefik,n7),(memcached,n145),(nginx,n145),(traefik,n145),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(postgres,n195)"
106,14.62569,65.84045,65.93675,80.56244000000001,7548,-1,-1,7548,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n7),(traefik,n7),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(postgres,n195)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n7),(traefik,n7),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(postgres,n195)"
107,13.15592,7.44049,65.71963,78.87554999999999,7170,7175,-1,7170,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(postgres,n195)","(busybox,n3),(alpine,n3),(traefik,n3),(memcached,n3),(httpd,n3),(nginx,n3),(postgres,n3),(mariadb,n3),(busybox,n197),(alpine,n197),(traefik,n195),(memcached,n195),(httpd,n195),(nginx,n195),(postgres,n195),(mariadb,n195)",,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(postgres,n195)"
108,23.01944,7.57301,65.96785,88.98729,7170,7175,-1,7170,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(postgres,n195)","(busybox,n3),(alpine,n3),(traefik,n3),(memcached,n3),(httpd,n3),(nginx,n3),(postgres,n3),(mariadb,n3),(busybox,n197),(alpine,n197),(traefik,n195),(memcached,n195),(httpd,n195),(nginx,n195),(postgres,n195),(mariadb,n195)",,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(postgres,n195)"
109,15.38845,66.00968,65.96886,81.35731000000001,7133,-1,-1,7133,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n27),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(traefik,n11),(traefik,n89)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n27),(memcached,n195),(nginx,n195),(mariadb,n195),(traefik,n195),(httpd,n195),(traefik,n11),(traefik,n89)"
