step,asp_time,heu_time,cr_time,declace_time,asp_cost,heu_cost,cr_cost,declace_cost,asp_placement,heu_placement,cr_placement,declace_placement
0,13.33407,5.89291,-1,13.33407,15483,18387,-1,15483,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(ubuntu,n3),(redis,n3),(rabbitmq,n3),(mysql,n3),(memcached,n10),(traefik,n10),(postgres,n10),(redis,n10),(mysql,n10),(ubuntu,n21),(mysql,n4)","(busybox,n3),(alpine,n3),(ubuntu,n3),(memcached,n3),(traefik,n3),(redis,n3),(nginx,n3),(httpd,n3),(rabbitmq,n3),(mariadb,n3),(postgres,n3),(mysql,n3),(busybox,n99),(alpine,n99),(nginx,n99),(httpd,n99),(rabbitmq,n99),(mariadb,n99),(busybox,n77),(alpine,n77),(ubuntu,n77),(memcached,n77),(traefik,n77),(redis,n77),(nginx,n77),(httpd,n77),(rabbitmq,n77),(mariadb,n77),(postgres,n77),(ubuntu,n10),(memcached,n10),(traefik,n10),(redis,n10),(postgres,n10),(mysql,n10),(mysql,n4)",,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(ubuntu,n3),(redis,n3),(rabbitmq,n3),(mysql,n3),(memcached,n10),(traefik,n10),(postgres,n10),(redis,n10),(mysql,n10),(ubuntu,n21),(mysql,n4)"
1,15.00446,25.08424,6.10282,21.10728,15555,-1,-1,15555,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(ubuntu,n3),(redis,n3),(rabbitmq,n3),(mysql,n3),(memcached,n10),(traefik,n10),(httpd,n10),(postgres,n10),(redis,n10),(rabbitmq,n10),(traefik,n83),(redis,n83),(mysql,n83),(ubuntu,n21),(mysql,n21)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(ubuntu,n3),(redis,n3),(rabbitmq,n3),(mysql,n3),(memcached,n10),(traefik,n10),(httpd,n10),(postgres,n10),(redis,n10),(rabbitmq,n10),(traefik,n83),(redis,n83),(mysql,n83),(ubuntu,n21),(mysql,n21)"
2,13.24591,0.92998,0.10649,0.10649,14637,15228,15555,15555,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(ubuntu,n3),(redis,n3),(rabbitmq,n3),(mysql,n3),(memcached,n10),(httpd,n10),(postgres,n10),(rabbitmq,n10),(traefik,n21),(ubuntu,n21),(redis,n21),(mysql,n21)","(busybox,n3),(alpine,n3),(ubuntu,n3),(memcached,n3),(traefik,n3),(redis,n3),(nginx,n3),(httpd,n3),(rabbitmq,n3),(mariadb,n3),(postgres,n3),(mysql,n3),(busybox,n136),(alpine,n136),(nginx,n136),(mariadb,n136),(ubuntu,n21),(memcached,n21),(traefik,n21),(redis,n21),(httpd,n21),(rabbitmq,n21),(postgres,n21),(mysql,n21)","(busybox,n3),(alpine,n3),(ubuntu,n3),(memcached,n3),(traefik,n3),(redis,n3),(nginx,n3),(httpd,n3),(rabbitmq,n3),(mariadb,n3),(postgres,n3),(mysql,n3),(ubuntu,n21),(mysql,n21),(memcached,n10),(traefik,n10),(redis,n10),(httpd,n10),(rabbitmq,n10),(postgres,n10),(traefik,n83),(redis,n83),(mysql,n83)","(busybox,n3),(alpine,n3),(ubuntu,n3),(memcached,n3),(traefik,n3),(redis,n3),(nginx,n3),(httpd,n3),(rabbitmq,n3),(mariadb,n3),(postgres,n3),(mysql,n3),(ubuntu,n21),(mysql,n21),(memcached,n10),(traefik,n10),(redis,n10),(httpd,n10),(rabbitmq,n10),(postgres,n10),(traefik,n83),(redis,n83),(mysql,n83)"
3,18.91642,25.08675,6.11725,25.03367,17190,-1,-1,17190,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(ubuntu,n3),(redis,n3),(rabbitmq,n3),(mysql,n3),(memcached,n10),(nginx,n10),(mariadb,n10),(traefik,n10),(httpd,n10),(postgres,n10),(ubuntu,n10),(rabbitmq,n10),(mysql,n10),(traefik,n4),(ubuntu,n4),(redis,n4),(mysql,n4),(redis,n21)",,,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(ubuntu,n3),(redis,n3),(rabbitmq,n3),(mysql,n3),(memcached,n10),(nginx,n10),(mariadb,n10),(traefik,n10),(httpd,n10),(postgres,n10),(ubuntu,n10),(rabbitmq,n10),(mysql,n10),(traefik,n4),(ubuntu,n4),(redis,n4),(mysql,n4),(redis,n21)"
4,14.44778,1.01531,0.21044,0.21044,15216,15228,17190,17190,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(ubuntu,n3),(redis,n3),(rabbitmq,n3),(mysql,n3),(memcached,n10),(nginx,n10),(mariadb,n10),(traefik,n10),(httpd,n10),(postgres,n10),(ubuntu,n10),(redis,n10),(rabbitmq,n10),(mysql,n10)","(busybox,n3),(alpine,n3),(ubuntu,n3),(memcached,n3),(traefik,n3),(redis,n3),(nginx,n3),(httpd,n3),(rabbitmq,n3),(mariadb,n3),(postgres,n3),(mysql,n3),(busybox,n77),(alpine,n77),(ubuntu,n10),(memcached,n10),(traefik,n10),(redis,n10),(nginx,n10),(httpd,n10),(rabbitmq,n10),(mariadb,n10),(postgres,n10),(mysql,n10)","(busybox,n3),(alpine,n3),(ubuntu,n3),(memcached,n3),(traefik,n3),(redis,n3),(nginx,n3),(httpd,n3),(rabbitmq,n3),(mariadb,n3),(postgres,n3),(mysql,n3),(ubuntu,n10),(memcached,n10),(traefik,n10),(nginx,n10),(httpd,n10),(rabbitmq,n10),(mariadb,n10),(postgres,n10),(mysql,n10),(ubuntu,n4),(traefik,n4),(redis,n4),(mysql,n4),(redis,n21)","(busybox,n3),(alpine,n3),(ubuntu,n3),(memcached,n3),(traefik,n3),(redis,n3),(nginx,n3),(httpd,n3),(rabbitmq,n3),(mariadb,n3),(postgres,n3),(mysql,n3),(ubuntu,n10),(memcached,n10),(traefik,n10),(nginx,n10),(httpd,n10),(rabbitmq,n10),(mariadb,n10),(postgres,n10),(mysql,n10),(ubuntu,n4),(traefik,n4),(redis,n4),(mysql,n4),(redis,n21)"
