asp_time,heu_time,asp_cost,heu_cost,asp_placement,heu_placement
4.81532,46.48181,7474,-1,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n53),(traefik,n53),(memcached,n75),(traefik,n75),(postgres,n75),(traefik,n14),(traefik,n36)",
6.46075,1.81494,6288,7638,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(traefik,n4)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n76),(alpine,n76),(memcached,n76),(nginx,n76),(httpd,n76),(mariadb,n76),(postgres,n76),(traefik,n4)"
5.09416,1.65092,7490,7490,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3)"
4.09137,2.49364,4514,7088,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n6),(traefik,n6),(traefik,n11)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n115),(alpine,n115),(traefik,n115),(nginx,n115),(httpd,n115),(mariadb,n115),(postgres,n115),(busybox,n25),(alpine,n25),(memcached,n25),(nginx,n25),(httpd,n25),(mariadb,n25),(postgres,n25),(memcached,n6),(traefik,n6)"
4.3533,1.593,4768,5992,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n7),(traefik,n7)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n43),(alpine,n43),(memcached,n43),(traefik,n43),(nginx,n43),(httpd,n43),(mariadb,n43),(postgres,n43)"
6.32591,1.25599,3566,6584,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n30),(traefik,n30),(traefik,n7)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n112),(alpine,n112),(nginx,n112),(httpd,n112),(mariadb,n112),(postgres,n112),(busybox,n22),(alpine,n22),(memcached,n22),(traefik,n22),(nginx,n22),(httpd,n22),(mariadb,n22),(postgres,n22),(memcached,n18),(traefik,n12)"
6.01415,1.54506,4494,4494,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3)"
6.03581,3.99056,4916,7490,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n5),(traefik,n5),(traefik,n46)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n86),(alpine,n86),(nginx,n86),(httpd,n86),(mariadb,n86),(postgres,n86),(busybox,n42),(alpine,n42),(memcached,n42),(nginx,n42),(httpd,n42),(mariadb,n42),(postgres,n42),(memcached,n5),(traefik,n5),(traefik,n46)"
10.66047,22.20344,6618,7416,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n6),(mariadb,n6),(memcached,n52),(postgres,n52),(nginx,n18),(traefik,n18),(httpd,n18),(postgres,n18),(traefik,n39)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n114),(alpine,n114),(busybox,n89),(alpine,n89),(nginx,n89),(httpd,n89),(mariadb,n89),(memcached,n52),(traefik,n52),(postgres,n52),(memcached,n18),(traefik,n18),(nginx,n18),(httpd,n18),(mariadb,n18),(postgres,n18)"
6.14248,0.62707,4768,5992,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n9),(traefik,n9)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n25),(alpine,n25),(memcached,n25),(nginx,n25),(httpd,n25),(mariadb,n25),(postgres,n25),(traefik,n9)"
5.40491,1.60176,6266,7490,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n14),(traefik,n66)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n48),(alpine,n48),(nginx,n48),(httpd,n48),(mariadb,n48),(postgres,n48),(memcached,n66),(traefik,n66)"
5.84596,0.5109,1646,2996,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(traefik,n32)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n87),(alpine,n87),(memcached,n87),(nginx,n87),(httpd,n87),(mariadb,n87),(postgres,n87),(traefik,n32)"
5.48707,1.83356,3270,4494,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n7),(traefik,n7)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n106),(alpine,n106),(nginx,n106),(httpd,n106),(mariadb,n106),(postgres,n106),(memcached,n7),(traefik,n7)"
5.11489,1.7635,7638,8988,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(traefik,n11)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n124),(alpine,n124),(memcached,n124),(nginx,n124),(httpd,n124),(mariadb,n124),(postgres,n124),(traefik,n43)"
5.59856,0.62271,4494,4494,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3)"
4.73819,0.7563,4051,5992,"(busybox,n3),(memcached,n3),(nginx,n3),(mariadb,n3),(alpine,n3),(traefik,n3),(httpd,n3),(postgres,n3),(memcached,n12),(traefik,n12),(postgres,n12),(traefik,n14),(httpd,n36)","(busybox,n3),(alpine,n3),(memcached,n3),(traefik,n3),(nginx,n3),(httpd,n3),(mariadb,n3),(postgres,n3),(busybox,n36),(alpine,n36),(memcached,n36),(nginx,n36),(httpd,n36),(mariadb,n36),(postgres,n36),(busybox,n12),(alpine,n12),(memcached,n12),(traefik,n12),(nginx,n12),(httpd,n12),(mariadb,n12),(postgres,n12),(traefik,n14)"
